"career.stage","personality.experience","country","personality.definition","personality.interpretation","repeatability.interpretation","repeatability.consistency","repeatability.comparison","single.measurements","unpartitioned.data","personality.data","comments","personality.definition.2","personality.interpretation.2","repeatability.interpretation.2","repeatability.comparison.2"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","No","UK","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","N/A","N/A",NA,NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"PhD researcher","Yes, as a co-author","UK","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","No",NA,NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","UK","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","I do not know","a) A single behavioural measurement per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a co-author","Sweden","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","Yes","No",NA,NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Spain","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","No","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","USA","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","Proportion of total  variance in a trait that occurs among individuals ","Yes","d) Neither interpretations a) nor b) can be made","No","Yes","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","other","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Switzerland","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals"," None of them alone, uses differ - Wilson 2018 Evol Lett sums up the different uses nicely","Yes","d) Neither interpretations a) nor b) can be made","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","other","d) Neither interpretations a) nor b) can be made"
"PhD researcher","Yes, as a lead, corresponding or senior author","UK","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a co-author","UK","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","c) Both interpretations a) and b) can be made","N/A","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"Master student (or earlier stage)","Yes, as a co-author","Spain","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"PhD researcher","I am not sure","Germany","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","I do not know","c) Both interpretations a) and b) can be made","Yes","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","c) Both interpretations a) and b) can be made"
"PhD researcher","Yes, as a lead, corresponding or senior author","Canada","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","Yes","Yes","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","No","Canada","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","d) I do not know the answer","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","d) Neither interpretations a) nor b) can be made","N/A","N/A",NA,NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","d) I do not know the answer","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","USA","Variation among individuals in the intercept of their behavioural reaction norm","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","d) Neither interpretations a) nor b) can be made","No","Yes, but I was not aware of it when I used it","e) Both b) and c) are correct",NA,"Variation among individuals in the intercept of their behavioural reaction norm","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Canada","Consistent between-individual differences in behaviour across time and/or contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","No","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Canada","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","c) Both interpretations a) and b) can be made","No","No","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"PhD researcher","Yes, as a lead, corresponding or senior author","USA","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","d) I do not know the answer","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","d) I do not know the answer","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a co-author","USA","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","d) I do not know the answer","Yes","d) Neither interpretations a) nor b) can be made","N/A","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","d) I do not know the answer","d) Neither interpretations a) nor b) can be made"
"PhD researcher","Yes, as a lead, corresponding or senior author","Belgium","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","c) Both interpretations a) and b) can be made","Yes","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Canada","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","Yes","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"PhD researcher","No","UK","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","I do not know","d) Neither interpretations a) nor b) can be made","No","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","France","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","No","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"PhD researcher","Yes, as a lead, corresponding or senior author","UK","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","The variation in behaviour in a given sample attributable to individual differences (i.e. how predictable a given individual's behaviour is)","The proportion of variance in a given model of a sample population that can be explained by individual-level differences.","Yes","d) Neither interpretations a) nor b) can be made","No","No","c) Repeated behavioural measurements per individual","For question 5, I would define this as individuals differing more predictably in group a than group b (they may, in fact, differ less but exhibit stronger maintenance of an overall rank order). You can further not define it as a lack of plasticity, as group B may vary more by simply being more unpredictable.","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","other","other","d) Neither interpretations a) nor b) can be made"
"Master student (or earlier stage)","No","Italy","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","Yes","Yes, but I was not aware of it when I used it","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"PhD researcher","No","Hungary","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","Yes","No","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"PhD researcher","Yes, as a lead, corresponding or senior author","Hungary","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","Yes","No","b) A single behavioural measurement per individual if the focal behaviour is repeatable",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"PhD researcher","Yes, as a lead, corresponding or senior author","USA","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","Yes","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","No","Germany","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","Yes","e) I do not know the answer","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","e) I do not know the answer"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","New Zealand","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"PhD researcher","Yes, as a co-author","Chile","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"PhD researcher","No","UK","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","Yes","d) Neither interpretations a) nor b) can be made","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","No","France","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","No","c) Both interpretations a) and b) can be made","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","c) Both interpretations a) and b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Spain","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","No","d) Neither interpretations a) nor b) can be made","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Germany","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","No","d) Neither interpretations a) nor b) can be made","Yes","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","No","Germany","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","d) I do not know the answer","I do not know","d) Neither interpretations a) nor b) can be made","No","No","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","d) I do not know the answer","d) Neither interpretations a) nor b) can be made"
"PhD researcher","Yes, as a lead, corresponding or senior author","USA","Consistent between-individual differences in behaviour across time and/or contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","c) Both interpretations a) and b) can be made","No","I do not know","e) Both b) and c) are correct",NA,"Consistent between-individual differences in behaviour across time and/or contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"Master student (or earlier stage)","Yes, as a co-author","UK","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","I do not know","c) Both interpretations a) and b) can be made","Yes","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","c) Both interpretations a) and b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","No","USA","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","Yes","d) Neither interpretations a) nor b) can be made","Yes","No","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Germany","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","c) Both interpretations a) and b) can be made","No","Yes, but I was not aware of it when I used it","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Canada","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","Yes","Yes, but I was not aware of it when I used it","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a co-author","New Zealand","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","No","d) Neither interpretations a) nor b) can be made","No","No","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Sweden","Consistent between-individual differences in behaviour across time and/or contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","A), but in simpler words, high repeatability = more consistent responses of individuals","Yes","c) Both interpretations a) and b) can be made","Yes","I do not know","e) Both b) and c) are correct",NA,"Consistent between-individual differences in behaviour across time and/or contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","other","c) Both interpretations a) and b) can be made"
"PhD researcher","Yes, as a co-author","The Netherlands","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","No","d) Neither interpretations a) nor b) can be made","No","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
