"key","title","authors","journal","issn","volume","issue","pages","year","publisher","url","abstract"
"X.ISI.000280535500006","Neuroendocrinology of coping styles: Towards understanding the biology of individual variation","Koolhaas, J. M. and de Boer, S. F. and Coppens, C. M. and Buwalda, B.","FRONTIERS IN NEUROENDOCRINOLOGY","0091-3022","31","3","307-321","2010","ACADEMIC PRESS INC ELSEVIER SCIENCE","10.1016/j.yfrne.2010.04.001","Individual variation in behavior and physiology is a widespread and ecologically functional phenomenon in nature in virtually all vertebrate species. Due to domestication of laboratory animals, studies may suffer from a strong selection bias. This paper summarizes behavioral, neuroendocrine and neurobiological studies using the natural individual variation in rats and mice. Individual behavioral characteristics appear to be consistent over time and across situations. The individual variation has at least two dimensions in which the quality of the response to a challenging condition (coping style) is independent from the quantity of that response (stress reactivity). The neurobiology reveals important differences in the homeostatic control of the serotonergic neuron and the neuropeptides vasopressin and oxytocin in relation to coping style. It is argued that a careful exploitation of the broad natural and biologically functional individual variation in behavior and physiology may help in developing better animal models for understanding individual disease vulnerability. (C) 2010 Elsevier Inc. All rights reserved."
"X.ISI.000233664700002","Natural selection and animal personality","Dingemanse, NJ and Reale, D","BEHAVIOUR","0005-7959","142","9-10","1159-1184","2005","BRILL ACADEMIC PUBLISHERS","10.1163/156853905774539445","Recent progress has been made on the study of personality in animals, both from a mechanistic and a functional perspective. While we start knowing more about the proximal mechanisms responsible for the consistent differences in behaviour between individuals in a population, little is known yet about the relationship between the phenotypic distribution of personality traits, or combinations of traits, and fitness. Here we provide an overview of the available literature on the fitness consequences of personality traits in natural populations. We start by a description of two case studies that have examined the role of natural selection on personality traits in the wild (i.e., the great tit. Parus major and bighorn sheep, Ovis canadensis), and review other studies that have reported some links between personality traits and fitness indices, in a large variety of animal species. We continue by outlining both direct approaches (i.e., measuring correlational selection on personality trait combinations) and indirect approaches (i.e., comparing correlations between personality traits within and between populations) to study suites of correlated traits from an adaptive perspective. This review, we hope, will be able to stimulate the use of the phenotypic selection analysis applied to the study of selection on personality traits in animals."
"X.ISI.000284435900007","Do consistent individual differences in metabolic rate promote consistent individual differences in behavior?","Biro, Peter A. and Stamps, Judy A.","TRENDS IN ECOLOGY \& EVOLUTION","0169-5347","25","11","653-659","2010","ELSEVIER SCIENCE LONDON","10.1016/j.tree.2010.08.003","Consistent individual differences (CIDs) in behavior are a widespread phenomenon in animals, but the proximate reasons for them are unresolved. We discuss evidence for the hypothesis that CIDs in energy metabolism, as reflected by resting metabolic rate (RMR), promote CIDs in behavior patterns that either provide net energy (e.g. foraging activity), and/or consume energy (e.g. courtship activity). In doing so, we provide a framework for linking together RMR, behavior, and life-history productivity. Empirical studies suggest that RMR is (a) related to the capacity to generate energy, (b) repeatable, and (c) correlated with behavioral output (e.g. aggressiveness) and productivity (e.g. growth). We conclude by discussing future research directions to clarify linkages between behavior and energy metabolism in this emerging research area."
"X.ISI.000248941900001","Landscape connectivity and animal behavior: functional grain as a key determinant for dispersal","Baguette, Michel and Van Dyck, Hans","LANDSCAPE ECOLOGY","0921-2973","22","8","1117-1129","2007","SPRINGER","10.1007/s10980-007-9108-4","Landscape connectivity can be viewed from two perspectives that could be considered as extremes of a gradient: functional connectivity (refers to how the behavior of a dispersing organism is affected by landscape structure and elements) and structural connectivity (depends on the spatial configuration of habitat patches in the landscape like vicinity or presence of barriers). Here we argue that dispersal behavior changes with landscape configuration stressing the evolutionary dimension that has often been ignored in landscape ecology. Our working hypothesis is that the functional grain of resource patches in the landscape is a crucial factor shaping individual movements, and therefore influencing landscape connectivity. Such changes are likely to occur on the short-term (some generations). We review empirical studies comparing dispersal behavior in landscapes differing in their fragmentation level, i.e., with variable resource grain. We show that behavioral variation affecting each of the three stages of the dispersal process (emigration, displacement or transfer in the matrix, and immigration) is indeed likely to occur according to selective pressures resulting from changes in the grain of the landscape (mortality or deferred costs). Accordingly, landscape connectivity results from the interaction between the dispersal behavior of individuals and the grain of each particular landscape. The existence of this interaction requires that connectivity estimates (being based on individual-based models, least cost distance algorithms, and structural connectivity metrics or even Euclidian distance) should be carefully evaluated for their applicability with respect to the required level of precision in species-specific and landscape information."
"X.ISI.000284208600002","Recent models for adaptive personality differences: a review","Dingemanse, Niels J. and Wolf, Max","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8436","365","1560","3947-3958","2010","ROYAL SOC","10.1098/rstb.2010.0221","In this paper we review recent models that provide adaptive explanations for animal personalities: individual differences in behaviour (or suites of correlated behaviours) that are consistent over time or contexts. We start by briefly discussing patterns of variation in behaviour that have been documented in natural populations. In the main part of the paper we discuss models for personality differences that (i) explain animal personalities as adaptive behavioural responses to differences in state, (ii) investigate how feedbacks between state and behaviour can stabilize initial differences among individuals and (iii) provide adaptive explanations for animal personalities that are not based on state differences. Throughout, we focus on two basic questions. First, what is the basic conceptual idea underlying the model? Second, what are the key assumptions and predictions of the model? We conclude by discussing empirical features of personalities that have not yet been addressed by formal modelling. While this paper is primarily intended to guide empiricists through current adaptive theory, thereby stimulating empirical tests of these models, we hope it also inspires theoreticians to address aspects of personalities that have received little attention up to now."
"X.ISI.000284208600009","Coping styles and behavioural flexibility: towards underlying mechanisms","Coppens, Caroline M. and de Boer, Sietse F. and Koolhaas, Jaap M.","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8436","365","1560","4021-4028","2010","ROYAL SOC","10.1098/rstb.2010.0217","A coping style (also termed behavioural syndrome or personality) is defined as a correlated set of individual behavioural and physiological characteristics that is consistent over time and across situations. This relatively stable trait is a fundamental and adaptively significant phenomenon in the biology of a broad range of species, i.e. it confers differential fitness consequences under divergent environmental conditions. Behavioural flexibility appears to be an important underlying attribute or feature of the coping style that might explain consistency across situations. Proactive coping is characterized by low flexibility expressed as rather rigid, routine-like behavioural tendencies and reduced impulse control (behavioural inhibition) in operant conditioning paradigms. This article summarizes some of the evidence that individual differentiation in behavioural flexibility emerges as a function of underlying variability in the activation of a brain circuitry that includes the prefrontal cortex and its key neurochemical signalling pathways (e.g. dopaminergic and serotonergic input). We argue that the multidimensional nature of animal personality and the terminology used for the various dimensions should reflect the differential pattern of activation of the underlying neuronal network and the behavioural control function of its components. Accordingly, unravelling the molecular mechanisms that give rise to individual differences in the coping style will be an important topic in biobehavioural neurosciences, ecology and evolutionary biology."
"X.ISI.000276602200002","Sexual selection and animal personality","Schuett, Wiebke and Tregenza, Tom and Dall, Sasha R. X.","BIOLOGICAL REVIEWS","1464-7931","85","2","217-246","2010","WILEY-BLACKWELL","10.1111/j.1469-185X.2009.00101.x","Consistent individual behavioural tendencies, termed ``personalities{''}, have been identified in a wide range of animals. Functional explanations for personality have been proposed, but as yet, very little consideration has been given to a possible role for sexual selection in maintaining differences in personality and its stability within individuals. We provide an overview of the available literature on the role of personality traits in intrasexual competition and mate choice in both human and non-human animals and integrate this into a framework for considering how sexual selection can generate and maintain personality. For this, we consider the evolution and maintenance of both main aspects of animal personality: inter-individual variation and intra-individual consistency."
"X.ISI.000284208600003","An explanatory framework for adaptive personality differences","Wolf, Max and Weissing, Franz J.","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8436","365","1560","3959-3968","2010","ROYAL SOC","10.1098/rstb.2010.0215","We develop a conceptual framework for the understanding of animal personalities in terms of adaptive evolution. We focus on two basic questions. First, why do behavioural types exhibit limited behavioural plasticity, that is, behavioural correlations both across contexts and over time? Second, how can multiple behavioural types coexist within a single population? We emphasize differences in `state' among individuals in combination with state-dependent behaviour. Some states are inherently stable and individual differences in such states can explain stable differences in suites of behaviour if it is adaptive to make behaviour in various contexts dependent on such states. Behavioural stability and cross-context correlations in behaviour are more difficult to explain if individual states are potentially more variable. In such cases stable personalities can result from state-dependent behaviour if state and behaviour mutually reinforce each other by feedback mechanisms. We discuss various evolutionary mechanisms for the maintenance of variation (in states and/or behaviour), including frequency-dependent selection, spatial variation with incomplete matching between habitat and phenotype, bet-hedging in a temporally fluctuating environment, and non-equilibrium dynamics. Although state differences are important, we also discuss how social conventions and social signalling can give rise to adaptive personality differences in the absence of state differences."
"X.ISI.000286888100002","Behavioural syndromes in fishes: a review with implications for ecology and fisheries management","Conrad, J. L. and Weinersmith, K. L. and Brodin, T. and Saltz, J. B. and Sih, A.","JOURNAL OF FISH BIOLOGY","0022-1112","78","2","395-435","2011","WILEY-BLACKWELL","10.1111/j.1095-8649.2010.02874.x","This review examines the contribution of research on fishes to the growing field of behavioural syndromes. Current knowledge of behavioural syndromes in fishes is reviewed with respect to five main axes of animal personality: (1) shyness-boldness, (2) exploration-avoidance, (3) activity, (4) aggressiveness and (5) sociability. Compared with other taxa, research on fishes has played a leading role in describing the shy-bold personality axis and has made innovative contributions to the study of the sociability dimension by incorporating social network theory. Fishes are virtually the only major taxon in which behavioural correlations have been compared between populations. This research has guided the field in examining how variation in selection regime may shape personality. Recent research on fishes has also made important strides in understanding genetic and neuroendocrine bases for behavioural syndromes using approaches involving artificial selection, genetic mapping, candidate gene and functional genomics. This work has illustrated consistent individual variation in highly complex neuroendocrine and gene expression pathways. In contrast, relatively little work on fishes has examined the ontogenetic stability of behavioural syndromes or their fitness consequences. Finally, adopting a behavioural syndrome framework in fisheries management issues including artificial propagation, habitat restoration and invasive species, may promote restoration success. Few studies, however, have examined the ecological relevance of behavioural syndromes in the field. Knowledge of how behavioural syndromes play out in the wild will be crucial to incorporating such a framework into management practices."
"X.ISI.000233664700003","Contribution of genetics to the study of animal personalities: a review of case studies","van Oers, K and de Jong, G and van Noordwijk, AJ and Kempenaers, B and Drent, PJ","BEHAVIOUR","0005-7959","142","9-10","1185-1206","2005","BRILL ACADEMIC PUBLISHERS","10.1163/156853905774539364","The need for evolutionary studies on quantitative traits that integrate genetics is increasing. Studies on consistent individual differences in behavioural traits provide a good opportunity to do controlled experiments on the genetic mechanisms underlying the variation and covariation in complex behavioural traits. In this review we will highlight the contribution of genetic studies in animal personality research. We will start with reviewing the evidence that shows how much variation in animal personality traits is genetic, and connect this to knowledge from human personality studies. We will continue by considering the nature of that variation, its generation and maintenance. Finally we will point to further possibilities for studying the genetics of animal personalities. We will underline the importance of integrating both proximate and ultimate approaches when studying the evolution of animal personalities."
"X.ISI.000308322900011","Linking behavioural syndromes and cognition: a behavioural ecology perspective","Sih, Andrew and Del Giudice, Marco","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8436","367","1603","2762-2772","2012","ROYAL SOC","10.1098/rstb.2012.0216","With the exception of a few model species, individual differences in cognition remain relatively unstudied in non-human animals. One intriguing possibility is that variation in cognition is functionally related to variation in personality. Here, we review some examples and present hypotheses on relationships between personality (or behavioural syndromes) and individual differences in cognitive style. Our hypotheses are based largely on a connection between fast-slow behavioural types (BTs; e.g. boldness, aggressiveness, exploration tendency) and cognitive speed-accuracy trade-offs. We also discuss connections between BTs, cognition and ecologically important aspects of decision-making, including sampling, impulsivity, risk sensitivity and choosiness. Finally, we introduce the notion of cognition syndromes, and apply ideas from theories on adaptive behavioural syndromes to generate predictions on cognition syndromes."
"X.ISI.000178563100004","Personality traits in the domestic dog (Canis familiaris)","Svartberg, K and Forkman, B","APPLIED ANIMAL BEHAVIOUR SCIENCE","0168-1591","79","2","133-155","2002","ELSEVIER SCIENCE BV","10.1016/S0168-1591(02)00121-1","The domestic dog (Canis familiaris) has been subjected to a huge range of selection pressures during domestication that has resulted in a considerable diversity in morphology and behaviour. This, together with the many uses the dog is put to in our society, makes the dog an interesting model for studies of animal personality. However, only a few attempts have been done to study individual differences in dogs. In this study, behavioural data from 15,329 dogs of 164 different breeds were used to investigate the existence of personality traits in dogs. The data were collected at a personality test that tested the dogs' reactions to strangers, ``fleeing{''} prey-like objects, and several potential fear- and aggression-eliciting stimuli. Factor analyses revealed the existence of five narrow traits: ``Playfulness{'' ``Curiosity/Fearlessness{''}, ``Chase-proneness{''}, ``Sociability{'' and ``Aggressiveness{''}. Higher-order factor analyses showed that all factors except ``Aggressiveness{''} were related to each other, creating a broad factor that influences behaviour in a range of situations. Both narrow and broad factors were found in a dataset including data from a large number of breeds, as well as within eight of Federation Cynologique Internationale's (FCI's) 10 breed groups. This indicates that the personality dimensions found in the study are general for the dog as a species. The finding of a major behavioural dimension in different groups of dog breeds, together with comparable results previously found for wolves (Canis lupus), suggests that the dimension is evolutionarily stable and has survived the varied selection pressures encountered during domestication. The broad factor is comparable to the shyness-boldness axis previously found in both humans and animals, and to human ``supertraits{''} (a combination of Extraversion and Neuroticism). The results of this study can be used to describe and compare individual dogs, as well as breeds. This, in turn, can be used in applications like selection of service dogs and breeding animals, as well as predicting behaviour problems in pet dogs. (C) 2002 Elsevier Science B.V. All rights reserved."
