"studyID","title","year","journal","volume","issue","pages","authors","url","abstract","t.and.a_decision","t.and.a_exclusion_reason","fulltext_decision","fulltext_exclusion_reason","repeatability","repeatability_interpretation","repeatability_interpretation_context","repeatability_consist_predict","repeatability_consist_predict_context","repetability_comparison","repetability_comparison_interpretation","repetability_comparison_interpretation_context","unstandardize_variance","comments","observer","unstandardize_variance.2","times.extracted"
"APR103","Aggression mediates dispersal tendency in an invasive lizard",2017,"ANIMAL BEHAVIOUR",133,NA,"29-34","Michelangeli, Marcus and Smith, Chelsea R. and Wong, Bob B. M. and Chapple, David G.","10.1016/j.anbehav.2017.08.027","Personality-dependent dispersal is a key ecological and evolutionary process that is likely to facilitate the successful movement and colonization/invasion success of species. This dispersal syndrome suggests that dispersers should possess a suite of behavioural tendencies that differ from those of nondispersers, thus influencing the composition of populations in the new range and, ultimately, colonization success. However, dispersal is also often condition dependent, and is probably mediated by the interaction between an individual's personality and environmental and social factors such as competition. Accordingly, we investigated whether dispersal tendency was linked to an activity, exploration and social syndrome and/or aggression in a reptile, the delicate skink, Lampropholis delicata, which has had a successful invasion history via accidental introductions. Contrary to our prediction, we found that dispersal was not related to activity, exploration or social personality traits. Instead, dispersal tendency was associated with aggression: the most aggressive individuals dispersed further and faster than less aggressive individuals. The presence of aggression-dependent dispersal could be due to either (1) dispersers generally being more aggressive than nondispersers or (2) aggressive individuals forcing nonaggressive individuals into hiding, thus impinging on the ability of subordinates to disperse regardless of their personality. Our study highlights the need to consider the ecological context when examining personality-dependent dispersal and suggests that aggression and the social environment can play an important role in dispersal decisions. (C) 2017 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","yes",NA,"yes",NA,"yes","within","We found that dispersal tendency was a repeatable trait, suggesting that skinks that never dispersed and skinks that dispersed to the furthest compartment did so in both trials. This appears to be two distinct dispersal decisions (i.e. to leave or not to leave: see Fig. 1), and that some individuals are more likely to begin the process of transience relative to other individuals.","yes","All behaviours were significantly repeatable and consistent between trials, except for sociability (Table 1). [...] Specifically, skinks that were consistently more aggressive towards counterparts dispersed further than individuals that were less aggressive.","no",NA,NA,"yes",NA,"AST","yes",2
"APR103","Aggression mediates dispersal tendency in an invasive lizard",2017,"ANIMAL BEHAVIOUR",133,NA,"29-34","Michelangeli, Marcus and Smith, Chelsea R. and Wong, Bob B. M. and Chapple, David G.","10.1016/j.anbehav.2017.08.027","Personality-dependent dispersal is a key ecological and evolutionary process that is likely to facilitate the successful movement and colonization/invasion success of species. This dispersal syndrome suggests that dispersers should possess a suite of behavioural tendencies that differ from those of nondispersers, thus influencing the composition of populations in the new range and, ultimately, colonization success. However, dispersal is also often condition dependent, and is probably mediated by the interaction between an individual's personality and environmental and social factors such as competition. Accordingly, we investigated whether dispersal tendency was linked to an activity, exploration and social syndrome and/or aggression in a reptile, the delicate skink, Lampropholis delicata, which has had a successful invasion history via accidental introductions. Contrary to our prediction, we found that dispersal was not related to activity, exploration or social personality traits. Instead, dispersal tendency was associated with aggression: the most aggressive individuals dispersed further and faster than less aggressive individuals. The presence of aggression-dependent dispersal could be due to either (1) dispersers generally being more aggressive than nondispersers or (2) aggressive individuals forcing nonaggressive individuals into hiding, thus impinging on the ability of subordinates to disperse regardless of their personality. Our study highlights the need to consider the ecological context when examining personality-dependent dispersal and suggests that aggression and the social environment can play an important role in dispersal decisions. (C) 2017 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","yes",NA,NA,NA,"yes","within","We found that dispersal tendency was a repeatable trait, suggesting that skinks that never dispersed and skinks that dispersed to the furthest compartment  did so in both trials.","no",NA,"no",NA,NA,"yes","We also ran Spearman rank correlations to test consistency between trials.","MM","yes",2
"APR106","Personality-matching habitat choice, rather than behavioural plasticity, is a likely driver of a phenotype-environment covariance",2017,"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",284,1864,NA,"Holtmann, Benedikt and Santos, Eduardo S. A. and Lara, Carlos E. and Nakagawa, Shinichi","10.1098/rspb.2017.0943","An emerging hypothesis of animal personality posits that animals choose the habitat that best fits their personality, and that the match between habitat and personality can facilitate population differentiation, and eventually speciation. However, behavioural plasticity and the adjustment of behaviours to new environments have been a classical explanation for such matching patterns. Using a population of dunnocks (Prunella modularis), we empirically tested whether personality or behavioural plasticity is responsible for the non-random distribution of shy and bold individuals in a heterogeneous environment. We found evidence for bold individuals settling in areas with high human disturbance, but also that birds became bolder with increasing age. Importantly, personality primarily determines the distribution of individuals, and behavioural adjustment over time contributes very little to the observed patterns. We cannot, however, exclude a possibility of very early behavioural plasticity (a type of developmental plasticity) shaping what we refer to as `personality'. Nonetheless, our findings highlight the role personality plays in shaping population structure, lending support to the theory of personality-mediated speciation. Moreover, personality-matching habitat choice has important implications for population management and conservation.","yes",NA,NA,NA,"yes","both","the high values resulted from a combination of moderate between-individual variance (VB; figure 1b), and low within-individual variance","yes","(i) Consistency of flight-initiation distance","yes","both","to test whether repeatability of FID changed with increasing age or over individual sampling intervals,we calculated adjusted repeatabilities by fitting two models including either age or sampling interval as a fixed effect","yes",NA,"MM","yes",2
"APR106","Personality-matching habitat choice, rather than behavioural plasticity, is a likely driver of a phenotype-environment covariance",2017,"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",284,1864,NA,"Holtmann, Benedikt and Santos, Eduardo S. A. and Lara, Carlos E. and Nakagawa, Shinichi","10.1098/rspb.2017.0943","An emerging hypothesis of animal personality posits that animals choose the habitat that best fits their personality, and that the match between habitat and personality can facilitate population differentiation, and eventually speciation. However, behavioural plasticity and the adjustment of behaviours to new environments have been a classical explanation for such matching patterns. Using a population of dunnocks (Prunella modularis), we empirically tested whether personality or behavioural plasticity is responsible for the non-random distribution of shy and bold individuals in a heterogeneous environment. We found evidence for bold individuals settling in areas with high human disturbance, but also that birds became bolder with increasing age. Importantly, personality primarily determines the distribution of individuals, and behavioural adjustment over time contributes very little to the observed patterns. We cannot, however, exclude a possibility of very early behavioural plasticity (a type of developmental plasticity) shaping what we refer to as `personality'. Nonetheless, our findings highlight the role personality plays in shaping population structure, lending support to the theory of personality-mediated speciation. Moreover, personality-matching habitat choice has important implications for population management and conservation.","yes",NA,"yes",NA,"yes","within","""highly consistent FIDs over time""","yes","""to evaluate the consistency of FID""","yes","both","""The increase of VB at the age classes 5 and 6 resulted in slightly higher repeatabilities than for the other ages (figure 1a). The VW, however, showed very little change at the different time scales, indicating highly consistent within-individual variation""","yes","Although the R is interpreted at the within-individual level, authors nicely also explain why R was high: high among- but low within-ID variance","PN","yes",2
"APR108","The multidimensional behavioural hypervolumes of two interacting species predict their space use and survival",2017,"ANIMAL BEHAVIOUR",132,NA,"129-136","Lichtenstein, James L. L. and Wright, Colin M. and McEwen, Brendan and Pinter-Wollman, Noa and Pruitt, Jonathan N.","10.1016/j.anbehav.2017.08.010","Individual animals differ consistently in their behaviour, thus impacting a wide variety of ecological outcomes. Recent advances in animal personality research have established the ecological importance of the multidimensional behavioural volume occupied by individuals and by multispecies communities. Here, we examine the degree to which the multidimensional behavioural volume of a group predicts the outcome of both intra-and interspecific interactions. In particular, we test the hypothesis that a population of conspecifics will experience low intraspecific competition when the population occupies a large volume in behavioural space. We further hypothesize that populations of interacting species will exhibit greater interspecific competition when one or both species occupy large volumes in behavioural space. We evaluate these hypotheses by studying groups of katydids (Scudderia nymphs) and froghoppers (Philaenus spumarius), which compete for food and space on their shared host plant, Solidago canadensis. We found that individuals in single-species groups of katydids positioned themselves closer to one another, suggesting reduced competition, when groups occupied a large behavioural volume. When both species were placed together, we found that the survival of froghoppers was greatest when both froghoppers and katydids occupied a small volume in behavioural space, particularly at high froghopper densities. These results suggest that groups that occupy large behavioural volumes can have low intraspecific competition but high interspecific competition. Thus, behavioural hypervolumes appear to have ecological consequences at both the level of the population and the community and may help to predict the intensity of competition both within and across species. (C) 2017 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","yes",NA,NA,NA,"yes","within","After establishing the repeatability of these behaviours, we concluded that our behavioural assays quantified temporally consistent personality traits in these species.","yes","we found that katydid groups were consistent in their interindividual distance across hourly observations in their space use trials","no",NA,NA,"no access to supl",NA,"MM","no",2
"APR108","The multidimensional behavioural hypervolumes of two interacting species predict their space use and survival",2017,"ANIMAL BEHAVIOUR",132,NA,"129-136","Lichtenstein, James L. L. and Wright, Colin M. and McEwen, Brendan and Pinter-Wollman, Noa and Pruitt, Jonathan N.","10.1016/j.anbehav.2017.08.010","Individual animals differ consistently in their behaviour, thus impacting a wide variety of ecological outcomes. Recent advances in animal personality research have established the ecological importance of the multidimensional behavioural volume occupied by individuals and by multispecies communities. Here, we examine the degree to which the multidimensional behavioural volume of a group predicts the outcome of both intra-and interspecific interactions. In particular, we test the hypothesis that a population of conspecifics will experience low intraspecific competition when the population occupies a large volume in behavioural space. We further hypothesize that populations of interacting species will exhibit greater interspecific competition when one or both species occupy large volumes in behavioural space. We evaluate these hypotheses by studying groups of katydids (Scudderia nymphs) and froghoppers (Philaenus spumarius), which compete for food and space on their shared host plant, Solidago canadensis. We found that individuals in single-species groups of katydids positioned themselves closer to one another, suggesting reduced competition, when groups occupied a large behavioural volume. When both species were placed together, we found that the survival of froghoppers was greatest when both froghoppers and katydids occupied a small volume in behavioural space, particularly at high froghopper densities. These results suggest that groups that occupy large behavioural volumes can have low intraspecific competition but high interspecific competition. Thus, behavioural hypervolumes appear to have ecological consequences at both the level of the population and the community and may help to predict the intensity of competition both within and across species. (C) 2017 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","yes",NA,"yes",NA,"yes","within","""...were consistent in their interindividual distance across hourly observations""","yes","""katydid groups were consistent in their interindividual distance across hourly observations""","no",NA,NA,"no",NA,"PN","no",2
"APR113","Participation in cooperative prey capture and the benefits gained from it are associated with individual personality",2017,"CURRENT ZOOLOGY",63,5,"561-567","Lichtenstein, James L. L. and Wright, Colin M. and Luscuskie, Lauren P. and Montgomery, Graham A. and Pinter-Wollman, Noa and Pruitt, Jonathan N.","10.1093/cz/zow097","In animal societies, behavioral idiosyncrasies of the individuals often guide which tasks they should perform. Such personality-specific task participation can increase individual task efficiency, thereby improving group performance. While several recent studies have documented group-level benefits of within-group behavioral (i.e., personality) diversity, how these benefits are realized at the individual level is unclear. Here we probe the individual-level benefits of personality-driven task participation in the social spider Stegodyphus dumicola. In S. dumicola, the presence of at least one highly bold individual catalyzes foraging behavior in shy colony members, and all group constituents heavily compete for prey. We assessed boldness by examining how quickly spiders resumed normal movement after a simulated predator attack. We test here whether (1) participants in collective foraging gain more mass from prey items and (2) whether bold individuals are less resistant to starvation than shy spiders, which would motivate the bold individuals to forage more. Next, we assembled colonies of shy spiders with and without a bold individual, added one prey item, and then tracked the mass gain of each individual spider after this single feeding event. We found that spiders that participated in prey capture (whether bold or shy) gained more mass than nonparticipators, and colonies containing a single bold spider gained more total mass than purely shy colonies. We also found that bold spiders participated in more collective foraging events and were more susceptible to starvation than shy spiders, suggesting that the aggressive foraging of bold individuals may represent a strategy to offset starvation risk. These findings add to the body of evidence that animal personality can shape social organization, individual performance, and group success.","yes",NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Responses to this test are highly repeatable in this species (R = 0.63) (Keiser et al. 2014a) relative to repeatabilities seen for other kinds of traits and taxa (Bell et al. 2009).","MM",NA,2
"APR113","Participation in cooperative prey capture and the benefits gained from it are associated with individual personality",2017,"CURRENT ZOOLOGY",63,5,"561-567","Lichtenstein, James L. L. and Wright, Colin M. and Luscuskie, Lauren P. and Montgomery, Graham A. and Pinter-Wollman, Noa and Pruitt, Jonathan N.","10.1093/cz/zow097","In animal societies, behavioral idiosyncrasies of the individuals often guide which tasks they should perform. Such personality-specific task participation can increase individual task efficiency, thereby improving group performance. While several recent studies have documented group-level benefits of within-group behavioral (i.e., personality) diversity, how these benefits are realized at the individual level is unclear. Here we probe the individual-level benefits of personality-driven task participation in the social spider Stegodyphus dumicola. In S. dumicola, the presence of at least one highly bold individual catalyzes foraging behavior in shy colony members, and all group constituents heavily compete for prey. We assessed boldness by examining how quickly spiders resumed normal movement after a simulated predator attack. We test here whether (1) participants in collective foraging gain more mass from prey items and (2) whether bold individuals are less resistant to starvation than shy spiders, which would motivate the bold individuals to forage more. Next, we assembled colonies of shy spiders with and without a bold individual, added one prey item, and then tracked the mass gain of each individual spider after this single feeding event. We found that spiders that participated in prey capture (whether bold or shy) gained more mass than nonparticipators, and colonies containing a single bold spider gained more total mass than purely shy colonies. We also found that bold spiders participated in more collective foraging events and were more susceptible to starvation than shy spiders, suggesting that the aggressive foraging of bold individuals may represent a strategy to offset starvation risk. These findings add to the body of evidence that animal personality can shape social organization, individual performance, and group success.","yes",NA,"yes",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PN",NA,2
"APR114","Early experience affects learning performance and neophobia in a cooperatively breeding cichlid",2017,"ETHOLOGY",123,10,"712-723","Bannier, Francis and Tebbich, Sabine and Taborsky, Barbara","10.1111/eth.12646","The ability to respond flexibly to environmental challenges, for instance by learning or by responding appropriately to novel stimuli, may be crucial for survival and reproductive success. Experiences made during early ontogeny can shape the degree of behavioural flexibility maintained by individuals during later life. In natural habitats, animals are exposed to a multitude of social and non-social ecological factors during early ontogeny, but their relative influences on future learning ability and behavioural flexibility are only poorly understood. In the cooperatively breeding cichlid Neolamprologus pulcher, we investigated whether early social and predator experiences shape the learning performance, flexibility, and response to novelty of adults. Fish were reared either with or without parents and helpers and with or without perceived predation risk in a full-factorial experiment. We investigated the influence of these treatments on learning performance and flexibility in a spatial acquisition and reversal learning task. To test for response to novelty, we performed a neophobia test. We found that fish reared with predator experience, but without the presence of older group members outperformed fish with other rearing backgrounds in reversal learning and that individuals, which had been reared in a socially more complex environment together with older group members responded less neophobic toward a novel object than individuals reared among siblings only. Comparative evidence from fish and rats suggests that these developmental effects may be driven by the cues of safety perceived in the presence of guarding parents.","yes",NA,"yes",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AST",NA,2
"APR114","Early experience affects learning performance and neophobia in a cooperatively breeding cichlid",2017,"ETHOLOGY",123,10,"712-723","Bannier, Francis and Tebbich, Sabine and Taborsky, Barbara","10.1111/eth.12646","The ability to respond flexibly to environmental challenges, for instance by learning or by responding appropriately to novel stimuli, may be crucial for survival and reproductive success. Experiences made during early ontogeny can shape the degree of behavioural flexibility maintained by individuals during later life. In natural habitats, animals are exposed to a multitude of social and non-social ecological factors during early ontogeny, but their relative influences on future learning ability and behavioural flexibility are only poorly understood. In the cooperatively breeding cichlid Neolamprologus pulcher, we investigated whether early social and predator experiences shape the learning performance, flexibility, and response to novelty of adults. Fish were reared either with or without parents and helpers and with or without perceived predation risk in a full-factorial experiment. We investigated the influence of these treatments on learning performance and flexibility in a spatial acquisition and reversal learning task. To test for response to novelty, we performed a neophobia test. We found that fish reared with predator experience, but without the presence of older group members outperformed fish with other rearing backgrounds in reversal learning and that individuals, which had been reared in a socially more complex environment together with older group members responded less neophobic toward a novel object than individuals reared among siblings only. Comparative evidence from fish and rats suggests that these developmental effects may be driven by the cues of safety perceived in the presence of guarding parents.","yes",NA,"yes",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PN",NA,2
"APR123","Integrating trait multidimensionality, predation and autotomy to explain the maintenance of boldness",2017,"ANIMAL BEHAVIOUR",130,NA,"97-105","Delnat, Vienna and Debecker, Sara and Stoks, Robby","10.1016/j.anbehav.2017.06.014","There is an ongoing debate on how personality types are maintained within populations. We tested, for the first time, the potential of trait multidimensionality and trait compensation, where prey compensate for the costs of one trait by relying more on another one, in maintaining variation in boldness within a population. We studied how four boldness-related traits and swimming escape performance covary and shape the probability of survival and autotomy of Ischnura pumilio damselfly larvae in an experiment with predatory dragonfly larvae. Our results did not support the common belief that bold individuals are selected against in terms of survival selection by predation. Instead, we found survival selection favouring individuals combining being bold for two boldness-related traits. The four boldness-related traits did not covary frequently, supporting the multidimensionality of boldness. Moreover, animals bolder for one trait (activity in the presence of predator cues) were shyer for another trait (response to predator cues), which indicated trait compensation. However, the support for trait compensation was limited. The only other case of trait compensation was that bold larvae compensated for their increased risk-taking behaviour in the presence of a predator with a higher probability of autotomy. These patterns may contribute to maintaining variation in boldness in damselfly populations. Just as boldness-related traits are multidimensional, the mechanisms underlying their persistence in natural populations are also likely to be multifaceted. (C) 2017 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","yes",NA,"yes",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AST",NA,2
"APR123","Integrating trait multidimensionality, predation and autotomy to explain the maintenance of boldness",2017,"ANIMAL BEHAVIOUR",130,NA,"97-105","Delnat, Vienna and Debecker, Sara and Stoks, Robby","10.1016/j.anbehav.2017.06.014","There is an ongoing debate on how personality types are maintained within populations. We tested, for the first time, the potential of trait multidimensionality and trait compensation, where prey compensate for the costs of one trait by relying more on another one, in maintaining variation in boldness within a population. We studied how four boldness-related traits and swimming escape performance covary and shape the probability of survival and autotomy of Ischnura pumilio damselfly larvae in an experiment with predatory dragonfly larvae. Our results did not support the common belief that bold individuals are selected against in terms of survival selection by predation. Instead, we found survival selection favouring individuals combining being bold for two boldness-related traits. The four boldness-related traits did not covary frequently, supporting the multidimensionality of boldness. Moreover, animals bolder for one trait (activity in the presence of predator cues) were shyer for another trait (response to predator cues), which indicated trait compensation. However, the support for trait compensation was limited. The only other case of trait compensation was that bold larvae compensated for their increased risk-taking behaviour in the presence of a predator with a higher probability of autotomy. These patterns may contribute to maintaining variation in boldness in damselfly populations. Just as boldness-related traits are multidimensional, the mechanisms underlying their persistence in natural populations are also likely to be multifaceted. (C) 2017 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","yes",NA,"yes",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PN",NA,2
"APR133","Effects of the group's mix of sizes and personalities on the emergence of alternative mating systems in water striders",2017,"BEHAVIORAL ECOLOGY",28,4,"1068-1074","Montiglio, Pierre-Olivier and Wey, Tina W. and Sih, Andrew","10.1093/beheco/arx070","Although much work has analysed how individual behavioural plasticity and adaptations to ecological conditions (e.g. density, sex-ratio, resource distribution) shape mating systems, few studies have assessed the relative importance of multiple factors in explaining why mating systems vary from one sub-population to the next even in the same ecological conditions. Differences among groups in their phenotypic composition, such as their average phenotype, within-group variation in phenotype, or the phenotype of individuals occupying key social roles might shape the mating system emerging at the group level and explain some portion of mating system variability. Here, we take advantage of the mating system flexibility of stream water striders (Aquarius remigis) to investigate how phenotypic composition affects the mating system emerging at the group level. Groups exhibited stable mating systems varying from scramble polygyny with intense sexual conflict, to systems with a clear dominant male guarding a ``harem{''} of females. We found that male size asymmetries and the personality of the largest individuals within groups had important effects on the group's mating system. The group's average male and female personality, size, and social plasticity also explained some of the variation in mating systems. Our study is one of the first to quantify significant relationships between group phenotypic composition and mating system variability.","yes",NA,"yes",NA,"yes","both","In large tanks, male water striders exhibited highly repeatable individual differences in activity (repeatability = 49.28%; [...] In large tanks, females also exhibited individual differences in both activity behavioural type (repeatability = 28.67%) [...] Small groups exhibited strong and consistent differences in their mating systems (Figure 1a). [...] Indeed, 51.26% of the total variance in the proportion of unmated males on the water was observed among groups (as opposed to within groups, Figure 1b), while 28.52% of the total variance in the proportion of unmated females on the water was observed among groups (Figure 1c). [...] Groups expressed consistent variation in (b) the proportion of unmated males observed on the water (51.26% of the total variance) and, to a lesser extent, (c) the proportion of females on the water (29% of the total variance).","no",NA,"no",NA,NA,"yes","Authors calculate both individual and group repeatabilities.","AST","yes",2
"APR133","Effects of the group's mix of sizes and personalities on the emergence of alternative mating systems in water striders",2017,"BEHAVIORAL ECOLOGY",28,4,"1068-1074","Montiglio, Pierre-Olivier and Wey, Tina W. and Sih, Andrew","10.1093/beheco/arx070","Although much work has analysed how individual behavioural plasticity and adaptations to ecological conditions (e.g. density, sex-ratio, resource distribution) shape mating systems, few studies have assessed the relative importance of multiple factors in explaining why mating systems vary from one sub-population to the next even in the same ecological conditions. Differences among groups in their phenotypic composition, such as their average phenotype, within-group variation in phenotype, or the phenotype of individuals occupying key social roles might shape the mating system emerging at the group level and explain some portion of mating system variability. Here, we take advantage of the mating system flexibility of stream water striders (Aquarius remigis) to investigate how phenotypic composition affects the mating system emerging at the group level. Groups exhibited stable mating systems varying from scramble polygyny with intense sexual conflict, to systems with a clear dominant male guarding a ``harem{''} of females. We found that male size asymmetries and the personality of the largest individuals within groups had important effects on the group's mating system. The group's average male and female personality, size, and social plasticity also explained some of the variation in mating systems. Our study is one of the first to quantify significant relationships between group phenotypic composition and mating system variability.","yes",NA,"yes",NA,"yes","among","""repeatable individual differences in activity"", ""individual differences in both activity""","no",NA,"no",NA,NA,"no","Unstandardized variance not in the main document. They cite tables in supp.mat. But it is not available anywhere so not sure if they are there either.","PN","no",2
"APR155","Stable producer-scrounger dynamics in wild birds: sociability and learning speed covary with scrounging behaviour",2017,"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",284,1852,NA,"Aplin, L. M. and Mor and -Ferron, J.","10.1098/rspb.2016.2872","There has been extensive game-theoretic modelling of conditions leading to equilibria of producer-scrounger dichotomies in groups. However there is a surprising paucity of experimental evidence in wild populations. Here, we examine producer-scrounger games in five subpopulations of birds feeding at a socially learnt foraging task. Over four weeks, a bimodal distribution of producers and scroungers emerged in all areas, with pronounced and consistent individual tactic specialization persisting over 3 years. Tactics were unrelated to exploratory personality, but correlated with latency to contact and learn the foraging task, with the late arrivers and slower learners more likely to adopt the scrounging role. Additionally, the social environment was also important: at the broad scale, larger subpopulations with a higher social density contained proportionally more scroungers, while within subpopulations scroungers tended to be central in the social network and be observed in larger foraging flocks. This study thus provides a rare example of a stable, dimorphic distribution of producer-scrounger tactics in a wild population. It further gives support across multiple scales for a major prediction of social foraging theory; that the frequency of scroungers increases with group size.","yes",NA,NA,NA,"yes","within"," this gives a measure of the total variation that is reproducible among repeated measure of the same individual","yes","to examine consistency in individuals’ social foraging strategies, we calculated intraclass correlation coefficients (ICC) for each four-week replicate and between years;","yes",NA,"4","no",NA,"MM","no",2
"APR155","Stable producer-scrounger dynamics in wild birds: sociability and learning speed covary with scrounging behaviour",2017,"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",284,1852,NA,"Aplin, L. M. and Mor and -Ferron, J.","10.1098/rspb.2016.2872","There has been extensive game-theoretic modelling of conditions leading to equilibria of producer-scrounger dichotomies in groups. However there is a surprising paucity of experimental evidence in wild populations. Here, we examine producer-scrounger games in five subpopulations of birds feeding at a socially learnt foraging task. Over four weeks, a bimodal distribution of producers and scroungers emerged in all areas, with pronounced and consistent individual tactic specialization persisting over 3 years. Tactics were unrelated to exploratory personality, but correlated with latency to contact and learn the foraging task, with the late arrivers and slower learners more likely to adopt the scrounging role. Additionally, the social environment was also important: at the broad scale, larger subpopulations with a higher social density contained proportionally more scroungers, while within subpopulations scroungers tended to be central in the social network and be observed in larger foraging flocks. This study thus provides a rare example of a stable, dimorphic distribution of producer-scrounger tactics in a wild population. It further gives support across multiple scales for a major prediction of social foraging theory; that the frequency of scroungers increases with group size.","yes",NA,"yes",NA,"yes","within","""Across this period, birds were consistent in the degree to which they used both strategies""","yes","""To examine consistency in individuals’ social foraging strategies, we calculated intraclass correlation coefficients""","no",NA,NA,"no",NA,"PN","no",2
"APR160","Effects of captivity on house mice behaviour in a novel environment: Implications for conservation practices",2017,"APPLIED ANIMAL BEHAVIOUR SCIENCE",189,NA,"98-106","Jones, Stephanie K. Courtney and Munn, Adam J. and Byrne, Phillip G.","10.1016/j.applanim.2017.01.007","Captive breeding programmes offer a method for preventing the extinction of threatened species, but often have difficulty establishing self-sustaining populations and generating individuals for release. This difficulty can arise because the behaviour of captive-reared animals differs from wild animals. Whilst the effect of captivity on animal behaviour has been widely reported, few studies have explicitly compared differences between captive-reared and wild-caught animals. Even fewer have examined behavioural types (a composition of behavioural traits) displayed in novel environments, which is particularly relevant for determining reintroduction success. Further, the transgenerational effects on behavioural type, and potential differences between sexes in response to captivity, remain almost completely unknown. Using house mouse (Mus musculus) as a model for small mammals, we tested whether behavioural types displayed in a novel environment differed between captive-reared and wild-caught animals. In addition, it was tested whether behavioural types were subject to transgenerational effects in captivity, and whether there were sex-specific differences in behavioural types. We used an open field test to simulate a novel environment. Captive-reared mice were found to differ in their boldness and activity behavioural type compared to their wild-caught mice (p < 0.001). There was marginal evidence for transgenerational effects on behavioural type in captivity, but three behavioural traits displayed a shift away from wild behaviours (\% Time active: p < 0.001; \% Time mobile: p = 0.004; Centre: maximum speed: p = 0.004). Furthermore, behavioural types of individuals in captivity did not differ depending on sex (F-0: p = 0.161; F-1: p = 0.665), however behavioural type did differ between wild-caught females and males (p = 0.015). These findings suggest that captivity can result in behavioural changes and loss of sex-specific behaviours. In addition, phenotypic plasticity may have a significant influence on behavioural type. This knowledge may be critical for developing methods to improve small mammal reintroduction programmes. (C) 2017 Elsevier B.V. All rights reserved.","yes",NA,"yes",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AST",NA,2
"APR160","Effects of captivity on house mice behaviour in a novel environment: Implications for conservation practices",2017,"APPLIED ANIMAL BEHAVIOUR SCIENCE",189,NA,"98-106","Jones, Stephanie K. Courtney and Munn, Adam J. and Byrne, Phillip G.","10.1016/j.applanim.2017.01.007","Captive breeding programmes offer a method for preventing the extinction of threatened species, but often have difficulty establishing self-sustaining populations and generating individuals for release. This difficulty can arise because the behaviour of captive-reared animals differs from wild animals. Whilst the effect of captivity on animal behaviour has been widely reported, few studies have explicitly compared differences between captive-reared and wild-caught animals. Even fewer have examined behavioural types (a composition of behavioural traits) displayed in novel environments, which is particularly relevant for determining reintroduction success. Further, the transgenerational effects on behavioural type, and potential differences between sexes in response to captivity, remain almost completely unknown. Using house mouse (Mus musculus) as a model for small mammals, we tested whether behavioural types displayed in a novel environment differed between captive-reared and wild-caught animals. In addition, it was tested whether behavioural types were subject to transgenerational effects in captivity, and whether there were sex-specific differences in behavioural types. We used an open field test to simulate a novel environment. Captive-reared mice were found to differ in their boldness and activity behavioural type compared to their wild-caught mice (p < 0.001). There was marginal evidence for transgenerational effects on behavioural type in captivity, but three behavioural traits displayed a shift away from wild behaviours (\% Time active: p < 0.001; \% Time mobile: p = 0.004; Centre: maximum speed: p = 0.004). Furthermore, behavioural types of individuals in captivity did not differ depending on sex (F-0: p = 0.161; F-1: p = 0.665), however behavioural type did differ between wild-caught females and males (p = 0.015). These findings suggest that captivity can result in behavioural changes and loss of sex-specific behaviours. In addition, phenotypic plasticity may have a significant influence on behavioural type. This knowledge may be critical for developing methods to improve small mammal reintroduction programmes. (C) 2017 Elsevier B.V. All rights reserved.","yes",NA,"yes",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PN",NA,2
